ThresholdType,CueType,T,N,K,P,Beta,Mu,Sigma,s,l,DOL,TaskSwitches,Loading,TimetoEq
Random Choice,Task Demand,4,448,0.00204482465618317,0.755292543000667,7.76923221084565,0.342077342018179,0.204363427753248,0.695127529571532,0.480942090843503,0.000631501565764016,1273795,9739.86008076859,4796
Response Threshold,Task Completion,4,448,0.00204482465618317,0.755292543000667,7.76923221084565,0.342077342018179,0.204363427753248,NaN,NaN,0.0352932675906552,1725707,-170897.139919231,3053
Satisfaction Threshold,Task Completion,4,448,0.00204482465618317,0.755292543000667,7.76923221084565,0.342077342018179,0.204363427753248,NaN,NaN,0.202269628111351,514652,-125103.139919231,951
Composite Threshold,Task Completion,4,448,0.00204482465618317,0.755292543000667,7.76923221084565,0.342077342018179,0.204363427753248,NaN,NaN,0.261262495886446,665033,-126580.139919231,770
Random Choice,Task Completion,4,448,0.00204482465618317,0.755292543000667,7.76923221084565,0.342077342018179,0.204363427753248,0.389669090595223,0.277447126067033,0.00110688926746635,726123,-4038.13991923141,4918
Response Threshold,Task Demand,8,184,0.00370313937336783,0.807446146863928,3.63716724691134,0.393657272069282,0.726866775594424,NaN,NaN,0.11990985755878,460195,-12962.4251297501,2104
Satisfaction Threshold,Task Demand,8,184,0.00370313937336783,0.807446146863928,3.63716724691134,0.393657272069282,0.726866775594424,NaN,NaN,0.274103801313203,240260,-2818.4251297501,867
Composite Threshold,Task Demand,8,184,0.00370313937336783,0.807446146863928,3.63716724691134,0.393657272069282,0.726866775594424,NaN,NaN,0.504313735839399,163221,-5354.4251297501,518
Random Choice,Task Demand,8,184,0.00370313937336783,0.807446146863928,3.63716724691134,0.393657272069282,0.726866775594424,0.404558496407161,0.852899527300718,0.000953844559705909,505028,-1790.4251297501,4918
Response Threshold,Task Completion,8,184,0.00370313937336783,0.807446146863928,3.63716724691134,0.393657272069282,0.726866775594424,NaN,NaN,0.112197413582811,454048,-17287.4251297501,3308
Satisfaction Threshold,Task Completion,8,184,0.00370313937336783,0.807446146863928,3.63716724691134,0.393657272069282,0.726866775594424,NaN,NaN,0.0627826205278598,246804,-17822.4251297501,1950
